ResourceID,id,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Orde van Sint-Birgitta,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Ordo Sanctissimi Salvatoris,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,OSsS,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,OSSS,Alternative,Nederlands
392571aa-9d35-5272-b639-61ed8672479f,http://www.wikidata.org/entity/Q952578,alternate_names,1,Birgittinessen OSSS,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Orde der Cisterciënzers,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,O.Cist.,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,OCist,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,SOCist,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Bernardijnen,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Cisterciënzen,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Cistercienzers,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Grijzemonniken,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Ordo Cisterciensis,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Schieremonniken,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,SOC,Alternative,Nederlands
4a7f23c5-9c73-58db-af33-a6b011407aa7,https://www.wikidata.org/entity/Q166861,alternate_names,1,Cisterciënzers OCIST,Alternative,Nederlands
089e5190-a80d-5db9-8d22-18517553e516,http://www.wikidata.org/entity/Q7075133,alternate_names,1,Institutum Oblatorum Sancti Francisci Salesii,Alternative,Nederlands
089e5190-a80d-5db9-8d22-18517553e516,http://www.wikidata.org/entity/Q7075133,alternate_names,1,O.S.F.S.,Alternative,Nederlands
089e5190-a80d-5db9-8d22-18517553e516,http://www.wikidata.org/entity/Q7075133,alternate_names,1,Oblaten van de H. Franciscus van Sales,Alternative,Nederlands
089e5190-a80d-5db9-8d22-18517553e516,http://www.wikidata.org/entity/Q7075133,alternate_names,1,OSFS,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,C.R.L.,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Canonici Regulares Lateranenses,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Congregatie van Lateranen,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,CRL,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Lateraanse Congregatie,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van de H. Augustinus,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van de Heilige Augustinus,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van Sint Augustinus,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van Sint Jan van Lateranen,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van Sint-Jan van Lateranen,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van St. Augustinus,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van St. Jan van Lateranen,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Congregatie der Reguliere Kanunniken van de Allerheiligste Verlosser van Lateranen,Alternative,Nederlands
1cf20b8b-227b-59b8-bc0b-9093ee0fa901,http://www.wikidata.org/entity/Q635046,alternate_names,1,Reguliere Kanunniken van Lateranen,Alternative,Nederlands
