ResourceID,card,card_order,source_id,digital_reference_uri,alternate_name_content_type,digital_reference_type
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Den Bosch,Alternate,nl
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Хертогенбос,Alternate,ru
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,https://ru.wikipedia.org/wiki/%D0%A5%D0%B5%D1%80%D1%82%D0%BE%D0%B3%D0%B5%D0%BD%D0%B1%D0%BE%D1%81,Alternate,link
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Silva Ducis,Alternate,la
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,’s-Hertogenbosch,Alternate,no
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,https://en.wikipedia.org/wiki/%27s-Hertogenbosch,Alternate,link
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5211,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5212,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5213,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5215,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5216,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5221,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5222,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5223,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5224,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5231,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5232,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5233,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5234,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5235,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5236,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,5237,Alternate,post
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,NLHTB,Alternate,unlc
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,Q2766547,Alternate,wkdt
c505eba4-4331-5770-b84d-0f424b92a494,digital_reference,2,2747351,’s-Hertogenbosch,Alternate,de
854ee067-0ab3-5c23-964c-50e26ea339bd,digital_reference,2,2747371,'s Gravemoer,Alternate,
854ee067-0ab3-5c23-964c-50e26ea339bd,digital_reference,2,2747371,https://en.wikipedia.org/wiki/%27s_Gravenmoer,Alternate,link
854ee067-0ab3-5c23-964c-50e26ea339bd,digital_reference,2,2747371,5109,Alternate,post
854ee067-0ab3-5c23-964c-50e26ea339bd,digital_reference,2,2747371,NLSGM,Alternate,unlc
854ee067-0ab3-5c23-964c-50e26ea339bd,digital_reference,2,2747371,Q131883,Alternate,wkdt
fa5b03ab-69e4-575e-994d-729cc1f63220,digital_reference,2,2747401,Q2058215,Alternate,wkdt
ff3f3701-4c4b-5996-8051-1472ca3ff82a,digital_reference,2,2747402,Seldensale,Alternate,
ff3f3701-4c4b-5996-8051-1472ca3ff82a,digital_reference,2,2747402,Seldensate,Alternate,
7438e9c8-0d32-5a08-a67c-14bd12770a5e,digital_reference,2,2747447,Schuddebeurspolder,Alternate,
7438e9c8-0d32-5a08-a67c-14bd12770a5e,digital_reference,2,2747447,Schuddebeurs,Alternate,
3c8c5c82-61ea-5a09-93ee-6035e8baf4bd,digital_reference,2,2747485,https://en.wikipedia.org/wiki/Schoot%2C_Veldhoven,Alternate,link
c94c7b65-fdb5-51a5-8c51-09c4f4f733b6,digital_reference,2,2747520,Q31210555,Alternate,wkdt
c94c7b65-fdb5-51a5-8c51-09c4f4f733b6,digital_reference,2,2747520,Schoonberg,Alternate,
218d1f95-13a9-5b53-9e4a-0a48b6efa38a,digital_reference,2,2747583,Gemeente Schijndel,Alternate,
218d1f95-13a9-5b53-9e4a-0a48b6efa38a,digital_reference,2,2747583,Schijndel,Alternate,
218d1f95-13a9-5b53-9e4a-0a48b6efa38a,digital_reference,2,2747583,https://en.wikipedia.org/wiki/Schijndel,Alternate,link
218d1f95-13a9-5b53-9e4a-0a48b6efa38a,digital_reference,2,2747583,Schijndel,Alternate,nl
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,en
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,fr
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,de
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,id
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,it
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,li
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,nl
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,pt
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Schijndel,Alternate,sv
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,https://en.wikipedia.org/wiki/Schijndel,Alternate,link
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,5481,Alternate,post
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,5482,Alternate,post
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,NLSND,Alternate,unlc
94a57576-9783-56c0-992f-d46ca7ad363d,digital_reference,2,2747584,Q9864,Alternate,wkdt
b2c27f43-54ff-5972-ac46-eb90c6fafa0d,digital_reference,2,2747585,4721,Alternate,post
b2c27f43-54ff-5972-ac46-eb90c6fafa0d,digital_reference,2,2747585,4722,Alternate,post
b2c27f43-54ff-5972-ac46-eb90c6fafa0d,digital_reference,2,2747585,NLSCY,Alternate,unlc
1eb03d37-9ea9-5774-af11-07aa8463bc47,digital_reference,2,2747695,Schalluinen,Alternate,
f2bf2286-601d-5804-b091-bf456773a16f,digital_reference,2,2747696,Landgoed Schaluinen,Alternate,
f2bf2286-601d-5804-b091-bf456773a16f,digital_reference,2,2747696,Schaluinen,Alternate,
6217e4b1-ed1d-57ce-a5f1-8d7eb83a8e77,digital_reference,2,2747710,Schaaikse Hoek,Alternate,
6217e4b1-ed1d-57ce-a5f1-8d7eb83a8e77,digital_reference,2,2747710,Schaijksche Hoek,Alternate,
6217e4b1-ed1d-57ce-a5f1-8d7eb83a8e77,digital_reference,2,2747710,Schaijkse Hoek,Alternate,
8da7fde0-098c-5943-a7ad-8aa53ca68877,digital_reference,2,2747711,Schaijksche Heide,Alternate,
8da7fde0-098c-5943-a7ad-8aa53ca68877,digital_reference,2,2747711,Schaijkse Heide,Alternate,
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,Schaik,Alternate,
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,Schaaik,Alternate,
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,Schayk,Alternate,
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,https://en.wikipedia.org/wiki/Schaijk,Alternate,link
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,Schadewijk,Alternate,
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,https://nl.wikipedia.org/wiki/Schaijk,Alternate,link
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,5374,Alternate,post
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,NLSCJ,Alternate,unlc
20de245c-cc01-5fd4-ba18-c8a87f51e07e,digital_reference,2,2747713,Q3475289,Alternate,wkdt
70674e7f-f3d6-5ba6-a135-f883500c4890,digital_reference,2,2747722,https://nl.wikipedia.org/wiki/Schafferden,Alternate,link
d4a38cab-9285-5650-a10b-433cd24be66b,digital_reference,2,2747728,Schadrom,Alternate,
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,'t Sas,Alternate,
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,https://en.wikipedia.org/wiki/Het_Sas%2C_North_Brabant,Alternate,link
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,Q2377247,Alternate,wkdt
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,Het Sas,Alternate,en
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,Het Sas,Alternate,
79b541fb-ec28-50ad-89b7-82db430d20b0,digital_reference,2,2747753,Het Sas,Alternate,nl
a9bc264a-b195-5d59-bd55-ae75b1f1e0c6,digital_reference,2,2747763,Sanderbanken,Alternate,nl
002e6b1a-3874-5657-87f9-1bfe2373f3ab,digital_reference,2,2747773,https://en.wikipedia.org/wiki/Sambeek,Alternate,link
002e6b1a-3874-5657-87f9-1bfe2373f3ab,digital_reference,2,2747773,https://nl.wikipedia.org/wiki/Sambeek,Alternate,link
002e6b1a-3874-5657-87f9-1bfe2373f3ab,digital_reference,2,2747773,Sambeek,Alternate,nl
002e6b1a-3874-5657-87f9-1bfe2373f3ab,digital_reference,2,2747773,5836,Alternate,post
002e6b1a-3874-5657-87f9-1bfe2373f3ab,digital_reference,2,2747773,NLSMB,Alternate,unlc
7ce30c58-33d6-5c31-9f25-3d2d0d5ab3af,digital_reference,2,2747782,Fort Sabina Henrica,Alternate,nl
7ce30c58-33d6-5c31-9f25-3d2d0d5ab3af,digital_reference,2,2747782,Sabina Henrica Fort,Alternate,en
