ResourceID,card,card_order,production_event_actor,production_event_actor_role,resource_id,identifier_content,identifier_type,architect_name,alt_names,other_identifier_content,other_identifier_type
2452c2de-c6ba-587a-bdff-6bcace0d13c4,architects,5,"[{""resourceId"": ""b48d590d-4d46-5d9c-ba35-ca4a57e0ada8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50b669d8-5dee-5d0b-ab4c-ea31406e2367"", ""inverseOntologyProperty"": """"}]",Architect,b48d590d-4d46-5d9c-ba35-ca4a57e0ada8,https://n2t.net/ark:/15052/be6dc1db-976d-49c2-985c-bbf4d7d68510,Brabant Cloud ARK Identifier,Jan Strik,J. Strik,https://www.wikidata.org/entity/Q2453775,Wikidata
cc26f4cb-2d20-52cb-b02b-fed572f42c78,architects,5,"[{""resourceId"": ""109556e3-57ba-530b-9842-bec78c63adb0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9cbb6835-6438-5ef5-a06b-2948ea7feed9"", ""inverseOntologyProperty"": """"}]",Architect,109556e3-57ba-530b-9842-bec78c63adb0,https://n2t.net/ark:/15052/60297f7e-516e-4778-a6b3-4b7021db25e4,Brabant Cloud ARK Identifier,Petrus Stornebrink,"['Petrus Theodorus Stornebrink', 'P.T. Stornebrink']",https://www.wikidata.org/entity/Q2836629,Wikidata
ce34c067-bdf6-57b1-b9d1-3b6e4f13c709,architects,5,"[{""resourceId"": ""e7e340fe-e758-577b-b120-115f9ee062d5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2028e524-c1a3-56c6-af25-f77bd018c37c"", ""inverseOntologyProperty"": """"}]",Architect,e7e340fe-e758-577b-b120-115f9ee062d5,https://n2t.net/ark:/15052/13a8d5a7-e6f9-4c48-8a06-38117b27d3d7,Brabant Cloud ARK Identifier,Jos van Ree,J. van Ree,,
ce34c067-bdf6-57b1-b9d1-3b6e4f13c709,architects,5,"[{""resourceId"": ""7e1c8e4c-7223-56b1-b6a3-5d72e9c47e37"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bcd88903-2d4e-557b-a386-71ed97adac73"", ""inverseOntologyProperty"": """"}]",Architect,7e1c8e4c-7223-56b1-b6a3-5d72e9c47e37,https://n2t.net/ark:/15052/5856e5ae-84d1-44cb-93d2-e383522bb42f,Brabant Cloud ARK Identifier,Adriaan Goyarts,"['Adriaan Goijaerts', 'A. Goyarts', 'A. Goijaerts']",https://www.wikidata.org/entity/Q2399081,Wikidata
ce34c067-bdf6-57b1-b9d1-3b6e4f13c709,architects,5,"[{""resourceId"": ""8bceaca4-d966-5719-9d21-0be21ab52d43"", ""ontologyProperty"": """", ""resourceXresourceId"": ""152c0158-2a63-5946-9bd3-6a0ff636abca"", ""inverseOntologyProperty"": """"}]",Architect,8bceaca4-d966-5719-9d21-0be21ab52d43,https://n2t.net/ark:/15052/034b44a6-afd8-44e4-9406-024adb718f0f,Brabant Cloud ARK Identifier,Antoon van Stokkum,,,
ce34c067-bdf6-57b1-b9d1-3b6e4f13c709,architects,5,"[{""resourceId"": ""d13a1481-177a-53f0-b492-466904985409"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eda10150-d8da-587d-9e72-d14334b85b4b"", ""inverseOntologyProperty"": """"}]",Architect,d13a1481-177a-53f0-b492-466904985409,https://n2t.net/ark:/15052/1e27507a-df24-47a3-a400-fd4d9bf1229c,Brabant Cloud ARK Identifier,M. Lambriex,,,
edc2d409-7f57-5d3b-a2ce-d4aa03743f73,architects,5,"[{""resourceId"": ""b48d590d-4d46-5d9c-ba35-ca4a57e0ada8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""50b669d8-5dee-5d0b-ab4c-ea31406e2367"", ""inverseOntologyProperty"": """"}]",Architect,b48d590d-4d46-5d9c-ba35-ca4a57e0ada8,https://n2t.net/ark:/15052/be6dc1db-976d-49c2-985c-bbf4d7d68510,Brabant Cloud ARK Identifier,Jan Strik,J. Strik,https://www.wikidata.org/entity/Q2453775,Wikidata
474e1dd0-4f16-5490-8f92-7b6d6d770ae5,architects,5,"[{""resourceId"": ""0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""abc2bd52-080e-53f6-897a-b4882de3007b"", ""inverseOntologyProperty"": """"}]",Architect,0e07c8e8-4d14-58ce-9ffb-d21d2a1cc7d8,https://n2t.net/ark:/15052/a801df83-8444-4c07-b68b-40bb94f4bcf8,Brabant Cloud ARK Identifier,Clemens Hardeman,"['Clemens Antonius Hardeman', 'Clemens Anthonius Hardeman', 'Clement Anthonius ""Clemens"" Hardeman', 'C.A. Hardeman']",http://www.wikidata.org/entity/Q2408342,Wikidata
0d771e15-fa7e-56a6-a246-b0b7d95a1998,architects,5,"[{""resourceId"": ""4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6"", ""ontologyProperty"": """", ""resourceXresourceId"": ""798e2acb-84da-53c1-80e5-110fb1cbf7cb"", ""inverseOntologyProperty"": """"}]",Architect,4f21cfda-4f80-53bc-8e22-1e1be7b9a7d6,https://n2t.net/ark:/15052/66bdbb71-ed86-4e30-ace2-b5fa86ac10ed,Brabant Cloud ARK Identifier,Cees de Bever,"['C. de Bever', 'Kees de Bever', 'C.H. de Bever', 'Cornelis Hubertus (Cees) de Bever']",https://www.wikidata.org/entity/Q2359508,Wikidata
b6fc685f-83bd-59dc-bc42-7baf27c29b3b,architects,5,"[{""resourceId"": ""1ef6134c-2e71-53ae-9267-4463cacd077b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""24ecb598-6778-537b-9438-7381f4053573"", ""inverseOntologyProperty"": """"}]",Architect,1ef6134c-2e71-53ae-9267-4463cacd077b,https://n2t.net/ark:/15052/d7b5e276-1bda-414a-8e77-04fcdc7561da,Brabant Cloud ARK Identifier,Tom Zwegers,"['T. W. A. Zwegers', 'Thomas Wilhelmus Antonius Zwegers', 'T. Zwegers']",,
