ResourceID,card,card_order,rights_type,language,resource_id,identifier_content,identifier_type,name_content,name_content_type,name_content_language,language_type,other_identifier_content,other_identifier_type,destruction_timespan_start,in_use_timespan_start,has_part,building_status,previous_building
556ad9e4-1f1b-5e0c-9c7e-b0edd3dedf40,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/dda8ffb7-1a9e-4d7c-879b-62e7c0071cf8,https://n2t.net/ark:/15052/dda8ffb7-1a9e-4d7c-879b-62e7c0071cf8,Brabant Cloud ARK Identifier,Sint-Lambertuskerk,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3725,Wikibase,1621,8-1621,"[{""resourceId"": ""a962c373-c37f-5980-b050-9d7a45dcc0d4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""aa6d9118-0539-56ab-b7b2-0b03f09586a4"", ""inverseOntologyProperty"": """"}]",,
3d9982ea-fec9-566d-ab2c-1abf1a66f67a,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/3288bdd6-6501-4be4-91a6-d09f550c18d3,https://n2t.net/ark:/15052/3288bdd6-6501-4be4-91a6-d09f550c18d3,Brabant Cloud ARK Identifier,Sint-Willibrorduskerk,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3814,Wikibase,,1878,,Rijksmonument,"[{""resourceId"": ""9c86d3db-6886-5011-a02b-d59aaad3cf64"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ecfa437c-51c5-5d63-a53b-2ddc2730ed50"", ""inverseOntologyProperty"": """"}]"
ebda12da-7049-51ce-8162-ee466883ba73,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/cd256239-a85b-447d-8bdb-2f338933784d,https://n2t.net/ark:/15052/cd256239-a85b-447d-8bdb-2f338933784d,Brabant Cloud ARK Identifier,Klooster in het Groot Ziekengasthuis,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3864,Wikibase,,3-7-2005,,Rijksmonument,"[{""resourceId"": ""0439f348-9b13-5bc9-840b-f00f50bf30f8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5addb06d-83a2-5f81-9167-8aa87d7cb6a4"", ""inverseOntologyProperty"": """"}]"
de14f261-be9c-526a-97cc-b0438ad4a42c,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/b5e11251-df0e-4d9b-8845-189673bc262f,https://n2t.net/ark:/15052/b5e11251-df0e-4d9b-8845-189673bc262f,Brabant Cloud ARK Identifier,Orthodox klooster Geboorte van de Moeder Gods,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3886,Wikibase,,8-9-1987,,,
21255757-375e-5c9e-afdf-10cba10f82a5,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/ba78c362-e44e-4561-9e20-f449dfdd5922,https://n2t.net/ark:/15052/ba78c362-e44e-4561-9e20-f449dfdd5922,Brabant Cloud ARK Identifier,Sint-Jozefklooster,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3953,Wikibase,1979,1979,,Rijksmonument,
df026a35-3319-5157-a947-f13144799121,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/126e8c46-feb1-4431-9829-adaf6cbe3a79,https://n2t.net/ark:/15052/126e8c46-feb1-4431-9829-adaf6cbe3a79,Brabant Cloud ARK Identifier,Klooster en gasthuis,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3957,Wikibase,,1978,,Rijksmonument,
df87b39d-b3d5-565c-a017-da19f947f952,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/480a1cea-0477-47ae-a607-43be36233d63,https://n2t.net/ark:/15052/480a1cea-0477-47ae-a607-43be36233d63,Brabant Cloud ARK Identifier,Abdij van Berne,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3959,Wikibase,,1857,,Rijksmonument,
117f5a34-b01d-588a-80bd-5d6ed906c5af,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/35450cb7-298b-4884-92c7-2a82a74f7cd9,https://n2t.net/ark:/15052/35450cb7-298b-4884-92c7-2a82a74f7cd9,Brabant Cloud ARK Identifier,Catharinagesticht,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q3980,Wikibase,,2014,,,
5f861768-b8e5-57a2-a447-6a098a6f2b23,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/341eb1d3-3897-43e6-9467-5cf3437f1a81,https://n2t.net/ark:/15052/341eb1d3-3897-43e6-9467-5cf3437f1a81,Brabant Cloud ARK Identifier,Sint-Jan de Doperkerk,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q4124,Wikibase,1869,1869,"[{""resourceId"": ""0038e891-2394-52f1-9416-c8952c6e4eca"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eb6d88d8-0f91-5243-825e-02ad35d6e01c"", ""inverseOntologyProperty"": """"}]",,
0324418d-af86-5e61-9165-5c1596182406,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/33c3b176-19f3-406b-bb5b-ac924855b115,https://n2t.net/ark:/15052/33c3b176-19f3-406b-bb5b-ac924855b115,Brabant Cloud ARK Identifier,Kloosterkazerne,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q4138,Wikibase,,1645,,Rijksmonument,
82d6024e-2efe-583d-9fad-e3c82ccd42c3,single,0,CC BY-SA,Nederlands,https://n2t.net/ark:/15052/75f26cbc-a374-4a40-89a5-4b378c6d7e77,https://n2t.net/ark:/15052/75f26cbc-a374-4a40-89a5-4b378c6d7e77,Brabant Cloud ARK Identifier,Klooster in seminarie IJpelaar,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q4144,Wikibase,,1969,,,
