ResourceID,card,card_order,image_identifier_content,image_identifier_type,image_other_identifier_content,image_other_identifier_type,image_name_content,image_name_content_type,image_name_content_language,image_right_type,image_url
d6c2b8e9-4704-575e-8b5a-f9618f9ce2de,image,11,https://n2t.net/ark:/15052/00c7e8cb-3748-4ea2-8b1d-30468bed6185,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1708,Wikibase,"St.Hubert, NL, Monastère orthodoxe russe",Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/9/98/St.Hubert%2C_NL%2C_Monast%C3%A8re_orthodoxe_russe.JPG
f601324b-6d23-55d3-8109-8916bfb35acc,image,11,https://n2t.net/ark:/15052/9adc5c7d-de7f-45ce-b9b6-a1d08faf24fd,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2285,Wikibase,Clarissenklooster Molenstraat 74 Helmond Monument 513097,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/c/c8/Clarissenklooster_Molenstraat_74_Helmond_Monument_513097.jpg
e781de56-c4b4-5298-8ba1-fdb90518cf8d,image,11,https://n2t.net/ark:/15052/e5bd9289-4984-41eb-a0b3-0e6413d7f2a2,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1969,Wikibase,521082-Clarissenklooster,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/e/e5/521082-Clarissenklooster.JPG
b7394bc1-1691-5fa1-85d8-803d1b2e1fbe,image,11,https://n2t.net/ark:/15052/416ab339-4054-44b5-ad6d-f6c9b9165c82,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1737,Wikibase,Zeeland Rijksmonument 519138 kerk Kerkstraat 51,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/1/18/Zeeland_Rijksmonument_519138_kerk_Kerkstraat_51.JPG
3a82e67e-71de-576a-b67c-c5680f513478,image,11,https://n2t.net/ark:/15052/62862627-d875-41f7-ba87-14e7ef271534,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2304,Wikibase,Sint-Paulusabdij P1050105,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/d/df/Sint-Paulusabdij_P1050105.JPG
e6ef0395-5aa6-5a14-88e9-7986b707625e,image,11,https://n2t.net/ark:/15052/f5ebb5e8-dec0-4e27-9d69-4b425e1a1250,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2303,Wikibase,Rijksmonumenten Roosendaal 312,Primary,Nederlands,CC BY,https://upload.wikimedia.org/wikipedia/commons/f/fb/Rijksmonumenten_Roosendaal_312.JPG
29e90482-356e-5467-8c3a-9fbd2ab1819d,image,11,https://n2t.net/ark:/15052/f190dadc-f833-43b7-888e-f0ce64f48796,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1779,Wikibase,Oirschot Rijksmonument 31309 klooster Nieuwstraat 28,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/d/d6/Oirschot_Rijksmonument_31309_klooster_Nieuwstraat_28.JPG
eb045ee6-523d-5da3-937e-2976bf1339f5,image,11,https://n2t.net/ark:/15052/9a009d54-2aa1-427f-b854-b24fa631d6bf,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2292,Wikibase,Hooidonk kapelletje 005,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/e/e7/Hooidonk_kapelletje_005.jpg
f5183ff9-0304-580e-a2df-7e60d3f03380,image,11,https://n2t.net/ark:/15052/d1e182bc-f18f-47d7-8079-311bebd4170a,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1777,Wikibase,Oirschot Rijksmonument 31278 Koestraat 14-18 St.Franciscushof,Primary,Nederlands,CC0,https://upload.wikimedia.org/wikipedia/commons/d/db/Oirschot_Rijksmonument_31278_Koestraat_14-18_St.Franciscushof.JPG
7ca41b5c-3658-5d9c-a811-7d3e841eaee5,image,11,https://n2t.net/ark:/15052/4311851a-da4e-48ed-856e-97877138fea8,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q1785,Wikibase,Nuenen-Park-1,Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/7/77/Nuenen-Park-1.jpg
