ResourceID,card,card_order,other_identifier_content,other_identifier_type
7f59f8e5-0be2-5085-94f5-20081b90fb68,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3040,Wikibase
67eb23ab-8f56-55ed-b307-41dcb04db714,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3041,Wikibase
0fed3614-8444-55eb-bf33-641c2c2a5687,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3042,Wikibase
6352190c-e4d7-5e69-9119-a932a683bb6f,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3043,Wikibase
81f6c8c8-f03d-5083-9b47-ba96c20979ee,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3044,Wikibase
7a22b8c8-2adb-5ed0-86e7-f505ba04e42d,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3045,Wikibase
7a22b8c8-2adb-5ed0-86e7-f505ba04e42d,other_identifiers,2,https://www.deurnewiki.nl/wiki/index.php?title=Sint-Antoniusklooster,regioWiki
9c8f1f1b-873b-5b65-b52e-aa5a1ede4b1a,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3046,Wikibase
96f02bba-3524-5b54-ab14-192c240f5247,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3047,Wikibase
2fc980e2-6278-5191-b4ca-7a98ddf53c01,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3048,Wikibase
2fc980e2-6278-5191-b4ca-7a98ddf53c01,other_identifiers,2,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Oosterhout_(Noord-Brabant),RCE Monuments
2fc980e2-6278-5191-b4ca-7a98ddf53c01,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bk082-002093,MIP
a481b6d0-9a31-5dce-8ecd-29bd6e67b963,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3049,Wikibase
a481b6d0-9a31-5dce-8ecd-29bd6e67b963,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_bp083-000240,MIP
1eb14e94-7838-573c-a3f1-0505f336a64c,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3050,Wikibase
b8999f7a-c9d4-549d-9600-187a0477f92e,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3051,Wikibase
488455dd-6204-5aae-8311-7adab9dda5c3,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3053,Wikibase
e4356c6f-a094-539c-a49d-5a59e85a7040,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3054,Wikibase
ecaae3eb-fcd2-5c3c-9383-369ebf670966,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3055,Wikibase
a97b6d9e-95ee-5144-aef8-bd0e943ff9ac,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3056,Wikibase
a97b6d9e-95ee-5144-aef8-bd0e943ff9ac,other_identifiers,2,https://monumentenregister.cultureelerfgoed.nl/monumenten/9155,RCE Monuments
a97b6d9e-95ee-5144-aef8-bd0e943ff9ac,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb008-003219,MIP
9d09fea6-a695-56d7-a543-1460532dd95e,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3057,Wikibase
9d09fea6-a695-56d7-a543-1460532dd95e,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb088-002586,MIP
7bf2b761-e260-5ddd-bedc-fad053317224,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3058,Wikibase
7bf2b761-e260-5ddd-bedc-fad053317224,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_rt044-004690,MIP
36a98c9d-81c5-51cd-916a-ee5283a59f62,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3059,Wikibase
abffb6ee-bc72-5c76-8f4e-eb547a163893,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3060,Wikibase
