ResourceID,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
86a4478d-ae19-5e32-be07-93b184b3eb31,alternate_names,2,Klooster Mariën Schoot,Alternative,Nederlands
b283fae0-960b-5fb1-b590-7761c15c4b1c,alternate_names,2,Moederhuis zrs van Asten,Alternative,Nederlands
b283fae0-960b-5fb1-b590-7761c15c4b1c,alternate_names,2,Klooster Ave Maria,Alternative,Nederlands
b283fae0-960b-5fb1-b590-7761c15c4b1c,alternate_names,2,Landgoed Semper Virens,Alternative,Nederlands
b283fae0-960b-5fb1-b590-7761c15c4b1c,alternate_names,2,Villa. H. Vorstermans,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,St. Antoniusschool,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,Mariaschool,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,R.K. School Sint Antonius,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,Sint-Antoniusschool,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,Sint Antoniusschool,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,Ave Maria,Alternative,Nederlands
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,alternate_names,2,R.K. School St. Antonius,Alternative,Nederlands
04e13232-3bba-5f58-afb8-a5e5714c56fe,alternate_names,2,Zusterklooster,Alternative,Nederlands
04e13232-3bba-5f58-afb8-a5e5714c56fe,alternate_names,2,Belgisch nonnenklooster,Alternative,Nederlands
55aeb5be-eb37-5826-b79e-4bcf8aea2ebf,alternate_names,2,Franciscanessenklooster,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Huize Sacre Coeur,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Huize Sacré Coeur,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Huize Sacre-Coeur,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Huize Sacré-Coeur,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Institut du Sacré-Coeur,Alternative,Nederlands
30166cdb-4bf5-57f9-bd79-102ec88f9ead,alternate_names,2,Kweekschool Sint Jan Baptist de la Salle,Alternative,Nederlands
2e8623c5-2195-597d-bab6-44229b9a9ad0,alternate_names,2,Klooster aan de grens,Alternative,Nederlands
67ac1ba1-e38a-5a4f-8faa-7580179e7542,alternate_names,2,Klooster O.L. Vrouw van Fatima,Alternative,Nederlands
67ac1ba1-e38a-5a4f-8faa-7580179e7542,alternate_names,2,Klooster O.L.V. van Fatima,Alternative,Nederlands
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,alternate_names,2,Sint Bernardusklooster,Alternative,Nederlands
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,alternate_names,2,Bernardusklooster,Alternative,Nederlands
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,alternate_names,2,St. Bernardusklooster,Alternative,Nederlands
bf805dd7-0bcf-5b41-9d69-0103f45730c5,alternate_names,2,Hooghuis,Alternative,Nederlands
bf805dd7-0bcf-5b41-9d69-0103f45730c5,alternate_names,2,Gaarshof,Alternative,Nederlands
bf805dd7-0bcf-5b41-9d69-0103f45730c5,alternate_names,2,De Gaarshof,Alternative,Nederlands
bf805dd7-0bcf-5b41-9d69-0103f45730c5,alternate_names,2,St. Franciscusklooster,Alternative,Nederlands
bf805dd7-0bcf-5b41-9d69-0103f45730c5,alternate_names,2,Sint Franciscusklooster,Alternative,Nederlands
8b61594e-e3e8-599b-8ace-a25c80f21c1d,alternate_names,2,Gerardus Majellaklooster,Alternative,Nederlands
8b61594e-e3e8-599b-8ace-a25c80f21c1d,alternate_names,2,St. Gerardusklooster,Alternative,Nederlands
8b61594e-e3e8-599b-8ace-a25c80f21c1d,alternate_names,2,Sint Gerardusklooster,Alternative,Nederlands
5f4db804-08b2-5260-b49a-c8737d99fafa,alternate_names,2,Klooster Huize d'Alzon,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Klooster Onze Lieve Vrouw Onbevlekt Ontvangen,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Huize Sint Augustinus,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Huize Sint-Augustinus,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Huize St. Augustinus,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Klooster O.L. Vrouw Onbevlekt Ontvangen,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Klooster O.L.V. Onbevlekt Ontvangen,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Groot-seminarie van de Assumptionisten,Alternative,Nederlands
8f71b74d-e27a-560f-9af4-af4bbcd564e1,alternate_names,2,Augustinianum,Alternative,Nederlands
8f156433-af36-59fc-81e6-0cc4f2188fb0,alternate_names,2,St-Joseph gesticht,Alternative,Nederlands
8f156433-af36-59fc-81e6-0cc4f2188fb0,alternate_names,2,Klooster Sint-Jozef,Alternative,Nederlands
8f156433-af36-59fc-81e6-0cc4f2188fb0,alternate_names,2,Sint Jozefgesticht,Alternative,Nederlands
37908230-ffe2-5054-a910-743baf57896c,alternate_names,2,Sint Jozefgesticht,Alternative,Nederlands
37908230-ffe2-5054-a910-743baf57896c,alternate_names,2,St. Jozefgesticht,Alternative,Nederlands
37908230-ffe2-5054-a910-743baf57896c,alternate_names,2,De Meerwijck,Alternative,Nederlands
67e877db-14c3-57b8-89e1-6628b0d5d354,alternate_names,2,St. Jozefgesticht,Alternative,Nederlands
67e877db-14c3-57b8-89e1-6628b0d5d354,alternate_names,2,Sint Jozefgesticht,Alternative,Nederlands
b8fefe14-beb7-54d4-8677-606fc0bffc5c,alternate_names,2,Huis van St. Lucia,Alternative,Nederlands
