card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,resource_id,other_identifier_type,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,08907c36-7770-5c5b-b105-4871215efa7f,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Sebastiaan,"['Sint Sebastiaan', 'Sint Sebastianus', 'St. Sebastiaan', 'St.-Sebastiaan', 'St.-Sebastianus', 'Sint-Sebastianus', 'Sint-Sebastiaan', 'St. Sebastianus']",https://www.wikidata.org/entity/Q183332,Wikidata,,,,
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Sebastianus,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St.-Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St.-Sebastianus,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Sebastianus,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Sebastiaan,Alternative,Nederlands
Alternate names,1,08907c36-7770-5c5b-b105-4871215efa7f,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Sebastianus,Alternative,Nederlands
Actors,0,08c0eb48-6a96-5626-a257-a564ad2f74fc,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Brabant Cloud ARK Identifier,Maria Magdalena,"['Maria van Magdala', 'Sinte Marie', 'Sint-Maria Magdalena']",https://www.wikidata.org/entity/Q63070,Wikidata,,,,
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Maria van Magdala,Alternative,Nederlands
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Sinte Marie,Alternative,Nederlands
Alternate names,1,08c0eb48-6a96-5626-a257-a564ad2f74fc,,,,,,,https://n2t.net/ark:/15052/0acf17ee-aa62-4f6a-b989-248e502b230a,Sint-Maria Magdalena,Alternative,Nederlands
Actors,0,0947996c-2b59-5b15-8802-517126058e37,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Brabant Cloud ARK Identifier,Dom. Paul Bellot,"['P. Bellot', 'Dom Bellot', 'Paul Louis Denis Bellot', 'Dom P. Bellot', 'Paul Bellot']",https://www.wikidata.org/entity/Q2014346,Wikidata,,,,
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,P. Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Dom Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Paul Louis Denis Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Dom P. Bellot,Alternative,Nederlands
Alternate names,1,0947996c-2b59-5b15-8802-517126058e37,,,,,,,https://n2t.net/ark:/15052/9926a17c-9342-4d04-a1bd-b57fdce08fbe,Paul Bellot,Alternative,Nederlands
Actors,0,0956a598-2d28-52b4-9a96-dc874b397052,https://n2t.net/ark:/15052/cb882ed9-fc0a-4ba8-8fa2-531b2dd81a86,Brabant Cloud ARK Identifier,ir. Fr. Everhard Molengraaf SS.CC,,,,,,,
Actors,0,0a762ef1-f089-5d1b-a5b9-12e944595ef4,https://n2t.net/ark:/15052/491fb0f1-d20e-46cc-8be8-a5b7ea008715,Brabant Cloud ARK Identifier,Andries Clement,A. Clement,,,,,,
Actors,0,0b5fae8b-f553-55de-ace7-7b891a2376db,https://n2t.net/ark:/15052/f7513536-2a12-40f3-b413-7fe996864af3,Brabant Cloud ARK Identifier,Victor van Xanten,,https://www.wikidata.org/entity/Q651226,Wikidata,,,,
Actors,0,0b907c94-f8cc-50fd-9bc2-0978e5391c15,https://n2t.net/ark:/15052/4fab1055-be29-4471-978a-6ea622c77d20,Brabant Cloud ARK Identifier,Heilige Catharina de Ricci,H. Catharina de Ricci,,,,,,
Actors,0,0c167f71-9048-5208-a434-6144bc88ca0c,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Brabant Cloud ARK Identifier,Barbara van Nicomedië,"['Sint-Barbara', 'St Barbara', 'Sint Barbara', 'Heilige Barbara', 'H Barbara', 'Barbara van Nicomedie', 'H. Barbara', 'St. Barbara']",https://www.wikidata.org/entity/Q192816,Wikidata,,,,
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Sint-Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,St Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Sint Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Heilige Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,H Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,Barbara van Nicomedie,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,H. Barbara,Alternative,Nederlands
Alternate names,1,0c167f71-9048-5208-a434-6144bc88ca0c,,,,,,,https://n2t.net/ark:/15052/4865df44-327d-4e34-b4be-9c50c4f6cb5d,St. Barbara,Alternative,Nederlands
Actors,0,0c46abbe-5815-56d4-afb2-4542f51607e5,https://n2t.net/ark:/15052/2ec76224-ab44-408f-8a55-d5d994929195,Brabant Cloud ARK Identifier,J. Smeele,,,,,,,
Actors,0,0c82dc77-537a-5499-a0f2-3cab2e84c237,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Brabant Cloud ARK Identifier,Adrianus,"['Sint Adrianus', 'Sint-Adrianus', 'Sint-Adriaan', 'Sint Adriaan']",https://www.wikidata.org/entity/Q374822,Wikidata,,,,
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint Adrianus,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint-Adrianus,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint-Adriaan,Alternative,Nederlands
Alternate names,1,0c82dc77-537a-5499-a0f2-3cab2e84c237,,,,,,,https://n2t.net/ark:/15052/716ca764-65e3-48b4-957a-af352d0bbf7c,Sint Adriaan,Alternative,Nederlands
Actors,0,0d16dffb-9172-5641-b3ed-a21757f3c624,https://n2t.net/ark:/15052/6517c600-2584-4231-b3af-aa301f932372,Brabant Cloud ARK Identifier,H. van de Biggelaar,,,,,,,
