ResourceID,card,card_order,consecration_activity_religion
e3718e86-f962-525b-b484-b21b41614893,organisation,2,Rooms-Katholieke Kerk
36558915-a04b-5771-8299-633db1d393a8,organisation,2,Rooms-Katholieke Kerk
f95c88b1-234f-5e7c-a257-352ad3dfecd4,organisation,2,Rooms-Katholieke Kerk
663ee48b-04a3-5114-9f44-7b516d0fa87b,organisation,2,Rooms-Katholieke Kerk
9cbcfad9-dbc1-5e9f-acbf-a9f18148df29,organisation,2,Rooms-Katholieke Kerk
5a82f207-79fe-5f68-a76a-188c996bb2b1,organisation,2,Rooms-Katholieke Kerk
2f3e0563-12cd-59d8-8295-f02d17991208,organisation,2,Rooms-Katholieke Kerk
26b53a4e-b4fa-5856-ad7a-a32f2cae4847,organisation,2,Rooms-Katholieke Kerk
f1babd84-2c54-5cca-aa86-bdf4b96b68d6,organisation,2,Rooms-Katholieke Kerk
0f804443-d078-566b-907a-098f61f5cc7a,organisation,2,Rooms-Katholieke Kerk
56686652-b5f2-57c3-87b7-c06dcbff2e5a,organisation,2,Rooms-Katholieke Kerk
2ca3df1f-0e84-520b-89aa-cef9fe102e81,organisation,2,Rooms-Katholieke Kerk
3f48a94c-408a-551f-ba81-8a33f55386a0,organisation,2,Rooms-Katholieke Kerk
c2db5d5d-d49d-5a18-9870-d255ebf2a5c8,organisation,2,Rooms-Katholieke Kerk
44d29f18-592d-5e8d-8f71-654b2afaaae4,organisation,2,Rooms-Katholieke Kerk
ed0d67c9-d4cf-55a7-8114-df8962124052,organisation,2,Rooms-Katholieke Kerk
b7a92d1d-ff65-5a7f-8d4f-07154071728b,organisation,2,Rooms-Katholieke Kerk
197dd216-3f9f-5a0d-9a87-d1f934c74df6,organisation,2,Rooms-Katholieke Kerk
988eb789-c891-5c59-9775-a156e654574a,organisation,2,Rooms-Katholieke Kerk
4f273858-5ea8-58e3-989b-0bda441566ae,organisation,2,Rooms-Katholieke Kerk
488f67c6-b37c-5f6a-a126-db78c465ffe2,organisation,2,Rooms-Katholieke Kerk
665b0cb9-9de9-5a36-a43e-2072738e5981,organisation,2,Rooms-Katholieke Kerk
65047b3f-cc38-5f6f-89f1-6a1b564e3ddd,organisation,2,Rooms-Katholieke Kerk
ad1603b8-8e2b-5203-88f4-eccef54ff26e,organisation,2,Rooms-Katholieke Kerk
67e4fa0e-e9c4-561c-ac30-4c0bfe1f7dc8,organisation,2,Rooms-Katholieke Kerk
0690ff8c-2804-5ac4-abb2-0cf9ef7b34c7,organisation,2,Rooms-Katholieke Kerk
13d21af1-b868-5506-9f1e-0b458bcc8965,organisation,2,Rooms-Katholieke Kerk
c2a775c2-127c-5f62-9a91-facc15254954,organisation,2,Rooms-Katholieke Kerk
99da13fb-f226-5243-bcaf-47d3e015e8e8,organisation,2,Rooms-Katholieke Kerk
f4c7e945-19d3-5bb4-91f6-c978e9e5f29b,organisation,2,Rooms-Katholieke Kerk
