ResourceID,card,card_order,alternative_name_content,alternative_name_type,alternative_name_language
467f70ce-4b22-5693-8031-cae421b7bd83,organisation,2,Klooster Maria Mediatrix,Alternative,Nederlands
467f70ce-4b22-5693-8031-cae421b7bd83,organisation,2,Maria Mediatrix,Alternative,Nederlands
8de53384-93f0-598d-aedd-9e2969c2719a,organisation,2,Antoniushuis,Alternative,Nederlands
8de53384-93f0-598d-aedd-9e2969c2719a,organisation,2,St. Antoniusgesticht,Alternative,Nederlands
8de53384-93f0-598d-aedd-9e2969c2719a,organisation,2,Pensionaat Sint-Antonius,Alternative,Nederlands
8de53384-93f0-598d-aedd-9e2969c2719a,organisation,2,Sint Antoniusgesticht,Alternative,Nederlands
eefd4c5b-5b2c-5d87-afd9-9b7fa299feae,organisation,2,Sint-Antoniusklooster,Alternative,Nederlands
eefd4c5b-5b2c-5d87-afd9-9b7fa299feae,organisation,2,Huize Sint-Antonius,Alternative,Nederlands
eefd4c5b-5b2c-5d87-afd9-9b7fa299feae,organisation,2,Het liefdeshuis,Alternative,Nederlands
eefd4c5b-5b2c-5d87-afd9-9b7fa299feae,organisation,2,Ludovicusgesticht,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,Sint Antoniusgesticht,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,Sint-Antoniushuis,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,Liefdegesticht Sint-Antonius,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,Antoniusgesticht,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,St. Antoniushuis,Alternative,Nederlands
0cc87e1e-0fb7-574e-81e5-2ad2bce42e3a,organisation,2,Sint-Antoniusklooster,Alternative,Nederlands
5e079d66-f9c4-5fe2-b192-4b8229642833,organisation,2,Huize Antonius,Alternative,Nederlands
83b9eb2b-9ee3-5439-afda-f8fc98ab16a9,organisation,2,St. Antoniusgesticht,Alternative,Nederlands
